TARA_X000000368	TARA_004_DCM_0.22-1.6
TARA_Y200000002	TARA_004_SRF_0.22-1.6
TARA_A200000159	TARA_007_DCM_0.22-1.6
TARA_A200000113	TARA_007_SRF_0.22-1.6
TARA_X000001036	TARA_009_DCM_0.22-1.6
TARA_X000000950	TARA_009_SRF_0.22-1.6
TARA_S200000501	TARA_018_DCM_0.22-1.6
TARA_A100000164	TARA_018_SRF_0.22-1.6
TARA_E500000081	TARA_023_DCM_0.22-1.6
TARA_E500000075	TARA_023_SRF_0.22-1.6
TARA_E500000331	TARA_025_DCM_0.22-1.6
TARA_E500000178	TARA_025_SRF_0.22-1.6
TARA_A100001011	TARA_030_DCM_0.22-1.6
TARA_A100001015	TARA_030_SRF_0.22-1.6
TARA_A100001388	TARA_031_SRF_0.22-1.6
TARA_A100001037	TARA_032_DCM_0.22-1.6
TARA_A100001035	TARA_032_SRF_0.22-1.6
TARA_A100001234	TARA_033_SRF_0.22-1.6
TARA_B100000029	TARA_034_DCM_0.22-1.6
TARA_B100000003	TARA_034_SRF_0.22-1.6
TARA_B100000035	TARA_036_DCM_0.22-1.6
TARA_Y100000022	TARA_036_SRF_0.22-1.6
TARA_B100000315	TARA_037_MES_0.22-1.6
TARA_B100000073	TARA_038_DCM_0.22-1.6
TARA_Y100000294	TARA_038_MES_0.22-1.6
TARA_Y100000287	TARA_038_SRF_0.22-1.6
TARA_B100000085	TARA_039_DCM_0.22-1.6
TARA_Y100000031	TARA_039_MES_0.22-1.6
TARA_B100000287	TARA_041_DCM_0.22-1.6
TARA_B100000282	TARA_041_SRF_0.22-1.6
TARA_B100000131	TARA_042_DCM_0.22-1.6
TARA_B100000123	TARA_042_SRF_0.22-1.6
TARA_B100000161	TARA_045_SRF_0.22-1.6
TARA_B100000242	TARA_048_SRF_0.22-1.6
TARA_B100000214	TARA_052_DCM_0.22-1.6
TARA_B100000212	TARA_052_SRF_0.22-1.6
TARA_B100000378	TARA_056_MES_0.22-3
TARA_B000000609	TARA_056_SRF_0.22-3
TARA_B000000565	TARA_057_SRF_0.22-3
TARA_B000000557	TARA_058_DCM_0.22-3
TARA_B000000532	TARA_062_SRF_0.22-3
TARA_B100000405	TARA_064_DCM_0.22-3
TARA_B100000408	TARA_064_MES_0.22-3
TARA_B100000401	TARA_064_SRF_0.22-3
TARA_B000000441	TARA_065_DCM_0.22-3
TARA_B000000460	TARA_065_MES_0.22-3
TARA_B000000437	TARA_065_SRF_0.22-3
TARA_B000000477	TARA_066_DCM_0.22-3
TARA_B000000475	TARA_066_SRF_0.22-3
TARA_B100000497	TARA_067_SRF_0.22-3
TARA_B100000482	TARA_068_DCM_0.22-3
TARA_B100000470	TARA_068_MES_0.22-3
TARA_B100000475	TARA_068_SRF_0.22-3
TARA_B100000446	TARA_070_MES_0.22-3
TARA_B100000459	TARA_070_SRF_0.22-3
TARA_B100000427	TARA_072_DCM_0.22-3
TARA_B100000508	TARA_072_MES_0.22-3
TARA_B100000424	TARA_072_SRF_0.22-3
TARA_B100000519	TARA_076_DCM_0.22-3
TARA_B100000749	TARA_076_MES_0.22-3
